id|strText
1|Chơi
2|Không quảng cáo
3|Gói Xóa quảng cáo
4|Loại bỏ QUẢNG CÁO
5|Tải xuống
6|Gói tiền xu
7|Mua tăng cường trò chơi
8|Mua
9|Miễn phí
10|Không, Cảm ơn
11|Bỏ qua hình ảnh
12|Nhận một hỗ trợ để Tiếp tục
13|Hủy
14|Thử lại
15|Danh sách các album
16|Du lịch
17|Trang chủ
18|Chơi lại
19|Tiếp tục
20|Thời gian: <color=#FFFF8A>{0}</color>
21|Tốt hơn {0:N2}% số người chơi
22|Gấp đôi
23|Yêu cầu
24|Cấp Độ Đặc Biệt:
25|Câu lạc bộ VIP
26|Trải nghiệm Niềm vui Vô tận
27|Mức truy cập đặc biệt
28|Truy cập cấp độ VIP
29|Phần thưởng rương kép
30|Tải ảnh miễn phí
31|Phần thưởng cấp đôi
32|Loại bỏ quảng cáo màn hình giữa
33|Xoá quảng cáo banner
34|Cấp quyền truy cập cấp đặc biệt
35|truy cập cấp VIP
36|Phần thưởng rương kép
37|Điều khoản Đăng ký
38|Thời gian đăng ký còn lại {0} ngày
39|Đây là một gói dịch vụ tự động gia hạn. Thanh toán sẽ được trừ từ tài khoản của bạn sau khi xác nhận. Gói dịch vụ sẽ được gia hạn trừ khi bạn hủy đăng ký trước 24 giờ trước khi kết thúc chu kỳ. Tài khoản của bạn cũng sẽ bị trừ tiền để gia hạn.
40|Điều khoản Đăng ký
41|Chính sách bảo mật
42|Bạn đã mua loại này
43|Xử lý thanh toán...<br>Vui lòng không đóng trò chơi.
44|Đang tải...
45|Mua hàng thất bại, vui lòng thử lại.
46|Thanh toán không hợp lệ
47|Mua hàng thất bại, vui lòng thử lại.
48|Mua hàng thành công
49|Đăng ký hàng tuần
50|Đăng ký hàng tháng
51|Gói đăng ký hàng năm
52|{0}/{1}Ngày
53|Kích hoạt
54|Mở khóa Cấp Độ Đặc Biệt
55|Mở Khóa Cấp Độ VIP
56|Không Thể Hủy Bỏ Bây Giờ
57|Không Thể Sử Dụng Nam Châm Bây Giờ
58|Không Thể Thoát Ra Bây Giờ
59|Mở khóa VIP
60|Ngày
61|Khuyến mãi
62|Không quảng cáo
63|Phần Thưởng Hằng Ngày
64|Siêu Ưu Đãi
65|Khôi phục mua hàng
66|Hãy thưởng thức trò chơi?<br>Hỗ trợ chúng tôi bằng 5 sao!
67|Phiên bản: {0}
68|Cấp Độ VIP :
69|Cài đặt
70|Vui lòng bật quyền truy cập thư viện ảnh của ứng dụng này trên trang cài đặt, nếu không sẽ không thể tải xuống.
71|Cửa hàng
72|Hãy thưởng thức trò chơi?<br>Hỗ trợ chúng tôi <br>với 5 sao!
73|Nhận Xu
74|<color=#FFED52>CLB VIP </color>Truy cập Miễn phí
75|Unable to continue synthesis, automatically randomized
76|Đã mua
77|Cần thêm thời gian
78|Bảo vật
79|Quảng cáo chưa sẵn sàng. Vui lòng thử lại sau.
80|X5
81|Thêm một lỗ
82|CHẠM VÀO KÍNH ĐỂ PHÁ VỠ
83|Cấp độ {0}
84|Lễ hội Báu vật
85|Spin May Mắn
86|Quay
87|Miễn phí: {0}
88|Miễn phí(left{0})
