id|strText
1|プレイ
2|広告なし
3|広告を削除するパック
4|広告を削除
5|ダウンロード
6|コインパック
7|ゲームブーストを購入
8|購入
9|無料
10|いいえ、結構です。
11|画像をスキップします。
12|継続するために1つのブーストを取得します。
13|キャンセル
14|リトライ
15|アルバム
16|旅行
17|ホーム
18|再起動
19|続ける
20|Times: <color=#FFFF8A>{0}</color>
21|プレイヤーの{0:N2}%よりも優れています
22|ダブル
23|主張
24|特別レベル:
25|VIPクラブ
26|楽しさを思う存分体験してください
27|特別レベルアクセス
28|VIPレベルのアクセス
29|ダブルチェスト報酬
30|無料画像ダウンロード
31|ダブルレベルの報酬
32|インタースティシャル広告を削除します。
33|バナー広告を削除します。
34|特別レベルアクセス
35|VIP レベル アクセス
36|ダブルチェストの報酬
37|サブスクリプション条件
38|購読期間残り{0}日
39|これは自動更新型のサブスクリプションです。支払いは確認後にあなたのアカウントから請求されます。定期契約期間終了の24時間前に解約しない限り、サブスクリプションは自動更新されます。更新のためにもあなたのアカウントから料金が請求されます。
40|サブスクリプションの利用規約
41|プライバシーポリシー
42|この種類を購入しました
43|支払い処理中...<br>ゲームを閉じないでください。
44|読み込み中
45|購入に失敗しました。もう一度お試しください。
46|支払いエラー
47|購入に失敗しました。もう一度お試しください。
48|購入が成功しました
49|週間サブスクリプション
50|毎月の購読
51|年間サブスクリプション
52|{0}/{1}日間
53|アクティベートされました
54|スペシャルレベルを解除します。
55|VIPレベルをアンロック
56|今は失効できません。
57|今は磁石を使えません。
58|今は押せない
59|VIPアンロック
60|日数
61|販売
62|広告なし
63|デイリーリワード
64|SupremeDeal
65|購入を復元
66|ゲームをお楽しみいただけましたか？<br>5つ星でサポートしてください！
67|バージョン:{0}
68|VIP レベル:
69|設定
70|このアプリのギャラリー許可を設定ページでオンにしてください。それ以外の場合、ダウンロードできません。
71|ストア
72|ゲームを楽しんでいますか？<br>5つ星でサポートしてください！
73|コインを取得します。
74|<color=#FFED52>VIP クラブ</color> 無料アクセス
75|Unable to continue synthesis, automatically randomized
76|購入済み
77|もっと時間が必要です
78|宝物
79|広告はまだ準備ができていません。後でもう一度お試しください。
80|X5
81|穴を追加します
82|ガラスをタップして割る
83|レベル {0}
84|宝探し祭り
85|ラッキースピン
86|回転する
87|無料:{0}
88|無料(left{0})
