id|strText
1|เล่น
2|ไม่มีโฆษณา
3|แพ็คใบสเปลื้อต่าง่็ไื้ง'''
4|ลบโฆษณา
5|ดาวน์โหลด
6|ชุดเหรียญ
7|ซื้อการเพิ่มพลัง
8|ซื้อ
9|ฟรี
10|ไม่เปลี่ยนใจ
11|ข้ามรูปภาพ
12|รับโบนัส 1 ครั้งเพื่อดำเนินการต่อ
13|ยกเลิก
14|ลองใหม่
15|อัลบั้ม
16|การเดินทาง
17|บ้าน
18|เริ่มเกมใหม่
19|ต่อไป
20|Times: <color=#FFFF8A>{0}</color>
21|ดีกว่า {0:N2}% ของผู้เล่น
22|สอง倍
23|เรียกร้อง
24|ระดับพิเศษ:
25|สําหรับสมาชิก VIP
26|สนุกไร้ขีดจำกัด
27|ระดับการเข้าถึงพิเศษ
28|ระดับการเข้าถึง VIP
29|รางวัลอกสองชั้น
30|ดาวน์โหลดภาพฟรี
31|รับรางวัลระดับสอง
32|ลบโฆษนา interstitial
33|ลบโฆษณาแบนเนอร์
34|การเข้าถึงระดับพิเศษ
35|ระดับการเข้าถึง VIP
36|รางวัลที่เก็บในชั้นหนึ่ง
37|เงื่อนไขการสมัครสมาชิก
38|เหลือระยะเวลาการสมัครสมาชิก {0} วัน
39|นี่คือการสมัครสมาชิกที่มีการต่ออายุอัตโนมัติ การชำระเงินจะถูกหักจากบัญชีของคุณหลังจากการยืนยัน การสมัครสมาชิกจะถูกต่ออายุโดยอัตโนมัติเว้นแต่คุณยกเลิก 24 ชั่วโมงก่อนสิ้นสุดระยะเวลา บัญชีของคุณยังจะถูกเรียกเก็บเงินสำหรับการต่ออายุ
40|เงื่อนไขการสมัครสมาชิก
41|นโยบายความเป็นส่วนตัว
42|คุณได้ซื้อประเภทนี้
43|การประมวลผลการชำระเงิน...<br>โปรดอย่าปิดเกมลง.
44|กำลังโหลด
45|การซื้อล้มเหลว โปรดลองอีกครั้ง
46|การชำระเงินไม่ถูกต้อง
47|การซื้อล้มเหลว โปรดลองอีกครั้ง
48|การซื้อสำเร็จแล้ว
49|การสมัครสมาชิกรายสัปดาห์
50|การสมัครสมาชิกรายเดือน
51|การสมัครสมาชิกปีละ
52|{0}/{1}วัน
53|เปิดใช้งาน
54|ปลดล็อคเลเวลพิเศษ
55|ปลดล็อคระดับ VIP
56|ไม่สามารถใช้การเพิกถอนในขณะนี้
57|ไม่สามารถใช้แม่เหล็กได้ในตอนนี้
58|ไม่สามารถแช่ออกตอนนี้
59|ปลดล็อค VIP
60|วันที่
61|ขาย
62|ไม่มีโฆษณา
63|รางวัลประจำวัน
64|SupremeDeal
65|เรียกคืนการซื้อ
66|สนุกกับเกมหรือไม่? <br> สนับสนุนเราด้วย 5 ดาว!
67|เวอร์ชัน:{0}
68|ระดับ VIP :
69|การตั้งค่า
70|โปรดเปิดการอนุญาตให้ใช้งานแกลลอรี่ของแอปนี้ในหน้าตั้งค่า ไม่งั้นจะไม่สามารถดาวน์โหลดได้
71|ร้าน
72|สนุกกับเกมหรือไม่?<br>สนับสนุนเรา <br>ด้วยการให้ดาว 5 ดาว!
73|รับเหรียญ
74|<color=#FFED52>สําหรับสมาชิก VIP Club </color>เข้าถึงฟรี
75|Unable to continue synthesis, automatically randomized
76|ซื้อ
77|ต้องการเวลาเพิ่มเติม
78|สมบัติ
79|โฆษณายังไม่พร้อม โปรดลองใหม่อีกครั้งในภายหลังค่ะ.
80|X5
81|เพิ่มรู
82|กดที่กระจกเพื่อทำลาย
83|ระดับ {0}
84|งานเทศกาลสมบัติ
85|สปินโชคดี
86|หมุน
87|ฟรี:{0}
88|ฟรี(left{0})
