id|strText
1|Играть
2|Без рекламы
3|Пакет без рекламы
4|Удалить рекламу
5|Скачать
6|Монетные пакеты
7|Купить улучшение игры
8|Купить
9|Бесплатно
10|Нет, спасибо
11|Пропустить изображение
12|Получите один буст, чтобы продолжить.
13|Отмена
14|Повторить
15|Альбомы
16|Путешествие
17|Дом
18|Перезапустить
19|Продолжить
20|Время: <color=#FFFF8A>{0}</color>
21|Лучше, чем {0:N2}% игроков
22|Двойной
23|Претензия
24|Специальный уровень:
25|Клуб VIP
26|Испытайте бесконечное удовольствие
27|Специальный доступ к уровню
28|Уровень доступа VIP
29|Двойные награды за сундук
30|Бесплатное скачивание изображения
31|Удвоенные награды уровня
32|Удалить межстраничные рекламные баннеры
33|Удалить баннерную рекламу
34|Специальный доступ к уровню
35|Уровень доступа VIP
36|Двойные награды сундука
37|Условия подписки
38|Осталось времени подписки {0} дней
39|Это автоматически продлеваемая подписка. Оплата будет списана с вашего счета после подтверждения. Подписка будет продлеваться, если вы не отпишетесь за 24 часа до окончания периода. За продление также будет взиматься плата.
40|Условия подписки
41|Политика конфиденциальности
42|Вы приобрели этот тип
43|Обработка платежа...<br>Пожалуйста, не закрывайте игру.
44|Загрузка
45|Покупка не удалась, пожалуйста, попробуйте снова.
46|Недопустимая оплата
47|Покупка не удалась, пожалуйста, попробуйте снова.
48|Покупка успешно выполнена
49|Еженедельная подписка
50|Ежемесячная подписка
51|Ежегодная подписка
52|{0}/{1}Дней
53|Активировано
54|Разблокировать специальный уровень
55|Разблокировать уровень VIP
56|Нельзя использовать отзыв сейчас
57|Не могу использовать магнит сейчас
58|Не могу выйти сейчас
59|Разблокировать VIP
60|Дни
61|Распродажа
62|Без рекламы
63|Ежедневный бонус
64|Суперсделка
65|Восстановить покупку
66|Наслаждайтесь игрой?<br>Поддержите нас 5-ю звездой!
67|Версия:{0}
68|Уровень VIP:
69|Настройка
70|Пожалуйста, разрешите доступ к галерее этого приложения на странице настроек, в противном случае оно не сможет загружать
71|Магазин
72|Наслаждайтесь игрой?<br>Поддержите нас <br>пятью звёздами!
73|Получить монеты
74|<цвет=#FFED52>Клуб ВИП </цвет>Бесплатный доступ
75|Unable to continue synthesis, automatically randomized
76|Приобретено
77|Нужно больше времени
78|Сокровище
79|Реклама еще не готова. Пожалуйста, попробуйте снова позже.
80|X5
81|Добавить отверстие
82|НАЖМИТЕ НА СТЕКЛО, ЧТОБЫ СЛОМАТЬ
83|Уровень {0}
84|Сокровища Фест
85|Удачный спин
86|Крутиться
87|Бесплатно: {0}
88|Свободно(лево{0})
